MaterialName,A,B,C,D,Vendor,DatasheetUrl
Kool Mµ MAX 90,0.01,3.884700000004234e-06,1.819,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/Kool-Mu-MAX-Cores/Kool-Mu-MAX-Material-Curves
Kool Mµ Ultra 26,0.01,7.380000000009329e-08,2.11,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/Kool-Mu-Ultra-Cores/Kool-Mu-Ultra-Material-Curves
Kool Mµ Ultra 40,0.01,4.940000000005679e-07,1.92,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/Kool-Mu-Ultra-Cores/Kool-Mu-Ultra-Material-Curves
Kool Mµ Ultra 60,0.01,6.944444444452767e-07,2.0,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/Kool-Mu-Ultra-Cores/Kool-Mu-Ultra-Material-Curves
MP 125,0.01,6.960000000010218e-07,2.451,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/63/b5/63b52dcc-fed2-4cf0-bf7d-1f6c6faf3ad0/mp-125-datasheet.pdf
MP 14,0.01,2.14675677949211e-08,2.16406774140861,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/96/1f/961fc3e1-82c4-4e4e-9734-5ea0d5fe73d9/mp-014-datasheet.pdf
MP 147,0.01,8.1038e-07,2.5194,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/7a/e2/7ae2c385-4aef-40a7-b8bf-82b9192c8338/mp-147-datasheet.pdf
MP 160,0.01,9.351e-07,2.526,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/72/fc/72fcd648-57f9-4965-9a47-c0a21cb6394c/mp-160-datasheet.pdf
MP 173,0.01,1.313242659754622e-05,1.93476271834308,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/f9/1c/f91c19f5-2c10-400d-8fe9-52f41085b110/mp-173-datasheet.pdf
MP 205,0.01,3.821817211713028e-06,2.34896162596327,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/1e/94/1e943509-3b7a-4832-9463-8f51ddeecfb7/mp-205-datasheet.pdf
MP 26,0.01,6.8935993718956e-09,2.59172380468287,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/a6/37/a6371e46-3735-4c3d-b017-10cc68866291/mp-026-datasheet.pdf
MP 60,0.01,1.0757500000015908e-07,2.468543015,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/fd/b7/fdb71e30-341e-47c7-9baf-4954673b6415/mp-060-datasheet.pdf
MPP 125,0.01,4.0608312342800357e-07,2.51757308069497,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/MPP-Cores/MPP-Material-Curves
MPP 14,0.01,4.357346114434758e-09,2.384588614675588,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/MPP-Cores/MPP-Material-Curves
MPP 147,0.01,9.117511035013419e-07,2.429772769915485,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/MPP-Cores/MPP-Material-Curves
MPP 160,0.01,9.524580747877505e-07,2.477225251693333,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/MPP-Cores/MPP-Material-Curves
MPP 173,0.01,8.078101470694001e-07,2.5633835280555033,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/MPP-Cores/MPP-Material-Curves
MPP 19,0.01,1.4991580049710786e-09,2.64524226019233,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/MPP-Cores/MPP-Material-Curves
MPP 200,0.01,1.4962206702070936e-06,2.477225251693333,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/MPP-Cores/MPP-Material-Curves
MPP 26,0.01,1.0896677651880746e-08,2.505116265239042,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/MPP-Cores/MPP-Material-Curves
MPP 300,0.01,4.912592988070203e-06,2.429772769915485,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/MPP-Cores/MPP-Material-Curves
MPP 40,0.01,2.702068630655618e-08,2.511090841910042,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/MPP-Cores/MPP-Material-Curves
MPP 550,0.01,0.0005597119739179644,1.709511291351454,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/MPP-Cores/MPP-Material-Curves
MPP 60,0.01,1.1652679425475977e-07,2.435964999551126,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/MPP-Cores/MPP-Material-Curves
MS 125,0.01,7.883666686492874e-06,1.88276251483404,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/0e/df/0edf7b29-aa29-4f8a-91dc-d977cd69e679/ms-125-datasheet.pdf
MS 14,0.01,9.443247495712282e-07,1.53298777541211,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/80/97/80977099-f38a-4ba3-ab0b-fe9cccbae8b3/ms-014-datasheet.pdf
MS 147,0.01,4.732059078141435e-05,1.53924930051701,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/b7/d0/b7d080e5-0f28-49a0-937e-ad8ff9645231/ms-147-datasheet.pdf
